Value,Range,Percentage,Stats
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
807.03,-8.53,(-1.05%),"Prev Close
815.56
Day's Range
810.98 - 824.42
52 Week Range
176.84 - 967.66
Average Volume (3m)
17.85M
1-Year Return
297.48%
Beta
1.24
Market Cap
151.18B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
10/12/2019
24/02/2020
01/05/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
